"","Región","Porcentaje inmunizados 18-29","Porcentaje inmunizados 30-39","Porcentaje inmunizados 40-49","Porcentaje inmunizados 50-59","Porcentaje inmunizados 60-69","Porcentaje inmunizados 70+","Vacunas totales 18-29","Vacunas totales 30-39","Vacunas totale 40-49","Vacunas totales 50-59","Vacunas totales 60-69","Vacunas totales 70+","Total inmunizados","Población 18-29","Población 30-39","Población 40-49","Población 50-59","Población 60-69","Población 70+"
"1","Arica y Parinacota",8.9,18.1,19.9,25.9,68.5,75,4315,7178,6622,7432,15286,14863,55696,48443,39659,33320,28678,22324,19819
"2","Tarapacá",9.6,16.9,19.9,30.4,69.4,78,7565,11438,10324,12003,20113,15660,77103,78521,67579,51891,39545,28979,20082
"3","Antofagasta",9.4,14.2,17,31.5,73.5,83.5,13620,17453,17036,23541,38773,28259,138682,144850,122506,100384,74733,52734,33830
"4","Atacama",9.4,15.6,18,27.9,71.3,78.6,5083,7765,7319,10593,20787,17502,69049,53991,49883,40661,38030,29164,22280
"5","Coquimbo",8.2,16.1,18.5,29.6,76.2,79.2,12027,20024,20802,30748,61435,59667,204703,146752,124692,112474,103807,80587,75343
"6","Valparaíso",9.8,18.1,22.6,35.6,77.8,83.9,34491,51867,56969,86985,162323,169693,562328,352467,285975,251715,244198,208560,202307
"7","Metropolitana",8.5,14.2,19.2,33.4,73.6,83,134899,202502,215251,318240,538302,507035,1916229,1583322,1431072,1120415,952800,731458,610973
"8","O’Higgins",10.6,17.1,20.5,34.7,79.4,85.2,16143,25266,28863,45869,82457,77180,275778,152383,148143,140710,132309,103913,90609
"9","Maule",10.5,18.4,19.8,32.9,76.9,82.8,19531,29750,30789,49252,92182,87471,308975,185619,162042,155338,149476,119925,105651
"10","Ñuble",13.3,22.7,25.3,39.9,82.5,84.2,10640,15678,17228,28613,46703,45697,164559,79976,69080,68106,71635,56607,54274
"11","Biobío",11.6,21.6,23.4,36.5,78.3,83.8,34200,51333,52397,80343,131355,123111,472739,294508,237287,224262,220205,167831,146903
"12","Araucanía",12.4,21.2,22.7,35.1,74.7,80.3,21381,30241,30874,45176,75580,77875,281127,171947,142561,135880,128856,101225,96974
"13","Los Ríos",13,23.6,25.3,34.7,74.6,80.8,9222,13494,13216,19117,31031,31122,117202,71017,57289,52216,55171,41614,38498
"14","Los Lagos",13,21,21.6,32.3,74.2,82.2,18956,28345,28135,38165,62725,61233,237559,146249,134961,130224,118298,84558,74524
"15","Aysén",20.3,29,29.3,34.6,72.4,76.2,3177,5291,4664,4518,7039,5743,30432,15680,18223,15911,13073,9728,7535
"16","Magallanes",19.3,31.1,36.9,46.5,78.4,84,6031,9225,9216,10140,14643,12405,61660,31222,29631,24946,21800,18672,14762
"17","Ignorada",NA,NA,NA,NA,NA,NA,3,3,6,7,10,8,37,NA,NA,NA,NA,NA,NA
"18","Total",9.9,16.9,20.7,33.9,75.4,82.7,351284,526853,549711,810742,1400744,1334524,4973858,3556947,3120583,2658453,2392614,1857879,1614364
